Country,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value),,,
Venezuela,"Jan 1, 2023 - Jun 30, 2023",All Users,29,29,32,0.00%,3.94,00:01:47,0.00%,0,$0.00,,,
Venezuela,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6,6,6,0.00%,4.5,00:04:19,0.00%,0,$0.00,,,
Venezuela,"Jan 1, 2023 - Jun 30, 2023",Without /es/,23,23,26,0.00%,3.81,00:01:12,0.00%,0,$0.00,,,
Bangladesh,"Jan 1, 2023 - Jun 30, 2023",All Users,27,27,30,0.00%,5.33,00:02:19,0.00%,0,$0.00,,,
Bangladesh,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Bangladesh,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27,27,30,0.00%,5.33,00:02:19,0.00%,0,$0.00,,,
Croatia,"Jan 1, 2023 - Jun 30, 2023",All Users,27,27,29,0.00%,3.83,00:00:39,0.00%,0,$0.00,,,
Croatia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Croatia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27,27,29,0.00%,3.83,00:00:39,0.00%,0,$0.00,,,
Kenya,"Jan 1, 2023 - Jun 30, 2023",All Users,26,26,28,0.00%,3.32,00:00:22,0.00%,0,$0.00,,,
Kenya,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Kenya,"Jan 1, 2023 - Jun 30, 2023",Without /es/,26,26,28,0.00%,3.32,00:00:22,0.00%,0,$0.00,,,
Ukraine,"Jan 1, 2023 - Jun 30, 2023",All Users,23,23,25,0.00%,3.92,00:00:55,0.00%,0,$0.00,,,
Ukraine,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Ukraine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,23,23,25,0.00%,3.92,00:00:55,0.00%,0,$0.00,,,
Dominican Republic,"Jan 1, 2023 - Jun 30, 2023",All Users,21,21,23,0.00%,3.65,00:00:49,0.00%,0,$0.00,,,
Dominican Republic,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,3,0.00%,6,00:02:35,0.00%,0,$0.00,,,
Dominican Republic,"Jan 1, 2023 - Jun 30, 2023",Without /es/,19,19,20,0.00%,3.3,00:00:33,0.00%,0,$0.00,,,
Bolivia,"Jan 1, 2023 - Jun 30, 2023",All Users,20,19,20,0.00%,4.95,00:00:41,0.00%,0,$0.00,,,
Bolivia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,3,3,3,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Bolivia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,17,16,17,0.00%,5.29,00:00:48,0.00%,0,$0.00,,,
Puerto Rico,"Jan 1, 2023 - Jun 30, 2023",All Users,20,19,23,0.00%,3,00:00:00,0.00%,0,$0.00,,,
