Region,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value)
Delaware,"Jan 1, 2023 - Jun 30, 2023",All Users,16,16,18,0.00%,3.33,00:02:19,0.00%,0,$0.00
Delaware,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Delaware,"Jan 1, 2023 - Jun 30, 2023",Without /es/,16,16,18,0.00%,3.33,00:02:19,0.00%,0,$0.00
North Dakota,"Jan 1, 2023 - Jun 30, 2023",All Users,7,7,7,0.00%,3.86,00:00:03,0.00%,0,$0.00
North Dakota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
North Dakota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7,7,7,0.00%,3.86,00:00:03,0.00%,0,$0.00
Alaska,"Jan 1, 2023 - Jun 30, 2023",All Users,6,6,6,0.00%,6,00:01:25,0.00%,0,$0.00
Alaska,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Alaska,"Jan 1, 2023 - Jun 30, 2023",Without /es/,6,6,6,0.00%,6,00:01:25,0.00%,0,$0.00
Total,"Jan 1, 2023 - Jun 30, 2023",All Users,10922,10449,14081,0.15%,5.32,00:01:44,<0.01%,1,$0.00
Total,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,208,145,526,0.00%,18.61,00:12:14,0.00%,0,$0.00
Total,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10782,10304,13555,0.15%,4.81,00:01:19,<0.01%,1,$0.00
